optime
2.23
2.22
5.33
2
1.58
1.72
2.52
1.25
2.58
1.32
2.87
3.02
1.47
3.13
2.87
2.65
1.73
1.8
1.75
1.68
2.17
1.17
2.07
2.9
1.08
3.08
1.52
2.07
2.27
3.73
2.18
0.9
4.22
1.35
2.37
1.23
2.95
1.85
2.23
1.2
1.27
2.9
1.08
0.77
0.95
2.28
1.93
1.23
1.37
6.25
1.18
2.07
2.35
2
1
1.82
2.27
2.4
1.82
1.32
1.95
1.97
2.35
2.75
4
3.33
1.97
1.07
0.3
3.4
1.15
8.28
2.72
2.25
2.5
4.37
1.38
1.62
3.72
1.53
3.05
2.32
1.43
1.12
5.12
1.73
1.9
1.73
2.08
0.97
1.65
1.65
1.13
1.63
1.25
2.67
2.42
1.75
